stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,1.41,0,0,0.28,0.56,5.07,0,0,0,0.28,0
21Day,0,0,0,0,0,0,0,0,7.03,0,0.37,0.74,0.37,9.99,0.37,0,0.37,0.37,0
3Month,0,0.52,0.1,0.31,0.1,0,0.1,0.1,1.56,0.31,0.1,0,0,0.1,0,0.1,0,0,0.1
22Month,0,0.27,0,2.87,0,0.14,0,0.14,0,0,0,0,0,0.14,0,0,0,0,0
