stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,T_cell
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.42,0.1,0,0.31,0.31,0.1,0,4.58,0.1,0.42,0,0.1,0,0.1
22Month,0.27,0.27,0.27,0,0.14,0.55,0.82,0,0.14,6.42,0.14,0.68,0.14,0,0.14,0.14
