stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,17.76,0,0.28,0,1.13,1.69,0,0.85,0,0,0.56,0,0,0
21Day,0.74,0.37,2.22,0.37,0,0.37,0,0.37,1.85,0,0,4.44,1.85,2.22,0,0.74,0.37,0,0.74,0.74,0,0,0,0,0.74
3Month,0,0.1,3.02,0,0.21,0.42,0.1,1.87,0,0.52,0.31,0.62,0.62,0.52,0,0.1,0,0.21,0,0,2.08,0,0.1,1.14,0.1
22Month,0,0,0.14,0,0,0.27,0,3.42,0,0.55,0,0.14,0.68,0.14,0.14,0,0,0.14,0,0,0,0,0,0,0.27
