stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Neural_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0,0.37,0,0,1.11,0.37,0,0
3Month,0,0,0.21,0,0,0,0,0.1,0
22Month,0,0.14,0.68,0.14,0,0,0,0,0.14
