stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0.28,0.56,0,0,11.56,1.41,0,1.41,0.85,0,0,3.1,0.85,0,0,0
21Day,0.37,1.11,1.11,0.37,0,0.37,0,0,0.37,0,0.37,0.37,5.18,0,0.74,0,29.97,1.11,0.37,1.11,3.33,0.37,0.37,9.99,21.46,0,0,0
3Month,0,0.73,0,0,0.1,0,1.46,0.1,0.1,0.31,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0.42,0,0,0,0.1,1.77,0.1
22Month,0,0.27,0,0,0.27,0.14,3.83,0.14,0.27,0.27,0.14,0.41,0.55,0.14,0,0,0.14,0,0,0,0,0,0,0.27,0,0,0,0.27
