stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0.21,0.31,0.21,2.5,0,0.73,0.21,0.21,54.3,4.78,75.93,1.14,2.08,0.83,0.83,22.78,0.94,0.42,0.31,0.62,0.31,0.21,0.31,0.1,0,0.1,1.35,0.31,0.21,0.42,26.21
22Month,0.27,0.41,0,1.09,0.14,1.91,0.14,0.27,109.73,3.96,90.05,2.87,1.78,0,0.14,24.32,0.96,0,0.27,0,0,0,0,0.27,0.14,0,0,0,0,0,8.88
