stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.28,1.41,1.13,0.85,0,0,0,0,0,0,0
21Day,0.37,0.37,1.11,1.11,0,0,0,0,0,22.2,0,0.74,0.37,0.37,0,0,0,0,2.96,0,1.48,0.37,0,0.74,0.37,0.37,0,7.4
3Month,0,0,0.42,0,0.1,0,0,0,0.21,0.42,0,0.21,0.1,0.31,0.21,0,0,0.1,0,0,0,0.1,0.21,0,0,0,0.1,5.82
22Month,0,0,0.41,0,0,0,0.14,0.14,0,0.55,0.14,0.14,0.55,0.68,0,0.27,0.14,0,0,0,0,0,0,0,0,0,0,6.29
