stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,1,0,4,0,0,1,0,0,0,0,0,0,0,1,1,2,7,0,0,0,0,2,79,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.85,0,2.54,0.85,0,0,0,0,0,0,0,0.28,0,1.13,2.82,0,4.23,0,0.56,0,0,14.09,19.45,0,0,2.54,0.85,0,0.85,0,0,0.28,0,0,0
21Day,5.18,1.11,0,12.58,6.66,0,5.92,0,0.74,0,0,0,5.92,0,0.37,3.33,2.22,12.21,0,0,1.11,0,10.73,9.99,0.37,0.37,4.81,1.85,0.37,2.59,0.74,0.74,0,0,0,0.74
3Month,0.1,1.46,0.1,19.97,0,0.52,0.62,2.39,10.51,0,18.72,4.26,1.25,4.68,1.25,6.45,6.03,5.1,1.25,0,0.42,0.94,1.77,0.1,0.1,0.52,0.31,0.42,18.41,0.1,0,0,0.1,1.14,1.77,5.1
22Month,0.14,1.91,0.41,8.2,0,0.68,0.41,0.68,6.42,2.87,44.41,2.32,2.46,7.24,0.41,1.64,7.11,6.56,0.55,1.37,1.23,0,0.55,0.27,0.14,0.55,0.27,0.41,3.42,0.27,0,0,0,0.14,0,1.78
