stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,1,49,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,3.1,1.13,0.56,0,0,0,0,0,0,0.85,0,1.69,90.47,0.28,1.13,0,0,0,0,9.3,2.25,0,0.28,1.69,0,0,0,0,0,0,0
21Day,0.74,0,61.79,1.85,1.85,0,0.74,0,0,1.11,6.29,28.86,0.37,2.22,39.59,2.22,2.22,0,0,0.37,0,1.85,1.48,0,0,0.37,1.48,1.11,0,0.37,0.37,0,15.54
3Month,0,0.1,21.64,0.21,0,0,0,0.1,0.52,2.6,12.27,0.31,0.94,0.83,0.94,1.35,0.94,0.42,0,0.1,0.21,0.1,0,0.1,0.1,0,0.52,9.99,0.1,0,0,3.64,21.53
22Month,0,0.27,4.78,0.14,0,0.14,0,0.14,0.68,3.01,20.22,0,0.41,0.41,0.27,1.23,0.82,0,0.27,0,0,0,0,0,0.14,0,0,5.6,0.14,0,0,0.14,6.7
