stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.41,0,0,0,11.27,0.28,0,0,0.28,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0.37,0,0.37,0,32.19,0,0.74,0,1.11,0.74,0
3Month,0,0,0.31,0.1,0.62,0.1,0,0.1,0,0,0.1,0.21,0,0.1,0,0,0,0,0,0.1
22Month,0,0.14,0.27,0,1.64,0.14,0.14,0,0.14,0.14,0,0,0.14,0.14,0,0,0.14,0,0,0
