stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.41,0,0.28,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
21Day,3.33,0,0.37,9.99,0,1.11,0,0.74,0,0,0,0,0,0,17.02,2.22,0.74,7.03,1.85,2.22,0,0,0,0,1.85,1.48,0,0,2.22,1.48,0.74,0,0,0,9.62
3Month,0.1,1.35,2.08,91.64,0.1,0,0.73,0.42,0.1,19.76,6.97,0.1,36.3,4.58,5.41,56.17,4.58,16.12,11.03,2.91,0.62,0.1,14.56,2.5,0.62,0.1,2.39,0.62,0.21,2.08,8.01,0,1.87,4.68,37.65
22Month,0.14,1.64,4.1,27.19,0,0,0.68,0.27,0,11.48,8.61,2.6,43.04,1.37,5.33,54.11,1.37,3.96,9.16,2.19,0,0.27,2.46,0.14,0.41,0.27,2.05,0.27,0,0.14,3.83,0.14,0.14,0,7.11
