stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,3.66,0.28,0.28
3Month,0.1,0,0.1,0,0,0
22Month,0,0.14,0.41,0,0,0
