stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,0.28,6.48,0.56,0,0,0,0,0,0,0,0.28,1.69,0,3.38,0,0,0.28,89.06,2.25,0,0.56,6.48,0,0,0.56,0.56,3.95,0,0
21Day,0.37,0,0,1.11,0.37,0.37,0,0,0,0.37,0,0.74,0,0,0.74,0.37,7.77,0,0,0.37,22.2,0.74,0,0.37,1.85,1.11,0.74,0,0,10.36,0,0
3Month,0.1,0,0.1,0.1,0.1,0,0.21,0.1,0.1,1.35,0.1,0.1,0.73,0,0.21,0.21,1.46,1.04,0,0.31,0.21,0,0.42,0,0.1,0,11.75,0,0,0.1,0.52,0.1
22Month,0,0,0,0,0,0,0,0,0,1.09,0.14,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0.14,0,0.14,0,3.96,0,0,0,0,0
