stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0
3Month,0.21,0,0,0,0,0,0.21,0,0,0,0.1
22Month,0.41,0.14,0.55,1.78,0.27,0.14,0,0.14,0.14,0.14,0
