stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,T_cell
21Day,0,0.37,0.74,0,0,0,1.85,0,0,0,0
3Month,0.1,0.1,0.42,0,0.21,0.31,0,0,0.21,0,0.1
22Month,0,0,0.27,0.14,0.41,0,0,0.14,0,0.14,0
