stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,0,0.85,0.85,0.56,0,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0,5.36,0,0,0,0,10.99,4.23,0.85,1.69,4.23,0,0,2.25,0,0,0.28,0,0,0
21Day,4.07,0,5.55,0,1.48,0,0.74,0,0,0,0,0,0.37,0.37,0,0,0.37,4.81,0.37,27.38,0,0,2.96,0,6.66,1.48,0.74,2.59,18.13,1.11,0,0.74,0,0.74,0,0,0,0
3Month,5.93,0,28.29,0,0,0,0.1,0.1,0.21,0.94,0.1,0,2.6,6.24,0,1.14,1.25,2.39,0.52,8.74,2.18,0,3.54,0.83,0.1,0.1,0.31,0.1,0.21,0.42,0.73,0.31,0,0,0.21,0.83,0.52,1.04
22Month,5.6,0.14,14.76,0,0,0.68,0,0.14,0,0.41,0,0,4.1,2.46,0.14,0.82,0,1.5,0.68,11.89,0.55,0.14,1.64,0,0.14,0.14,0.82,0.27,0,0.14,0.68,0.68,0.14,0,0.14,0.27,0,0.27
