stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,7.05,0,0,0,0,0.28,0,0,0,0,3.66,0,0,0,0.28,0,0,0
21Day,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0.74,0,27.38,0,0,0.37,0,1.11,0.74,0,0.37,0,11.1,0.37,0.37,0.74,0,0,0,0
3Month,0.1,0,0,1.14,0.1,0.1,0.21,0.42,0.1,2.5,0.21,0.1,0.21,0.1,0,0.1,10.3,4.37,0,0.1,0.1,0.1,0,0.1,0,0,0.1,0,1.56,0,0.1,0.21,2.08,0.21
22Month,0,0.14,0.14,0.55,0,0,0.14,0.68,0.55,7.65,0,0.14,0.55,0.14,0.14,0.55,5.88,0.14,0.27,0.14,0,0.14,0,0.14,0,0.27,0,0,0.41,0.14,0,0,0,0.55
