stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,3,29,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.28,0,3.95,0.56,1.13,0,0,0,0,0,0,0,0,1.41,2.82,0,4.23,0,0,0,0,41.15,4.79,0.28,0.56,9.58,0,0,0,0.56,0,0.28,0,0,0
21Day,5.92,0,0,27.01,0.74,1.48,0,0,0.37,0.37,0,0.74,0,1.11,0,11.84,0.37,28.49,0,0,2.96,0,19.98,3.33,0.37,1.48,11.84,1.11,0,0.37,0.37,1.48,0,0,0,0.37
3Month,0,0.21,0,6.14,0,0,0,0.1,0.83,0.31,0.1,4.06,0.21,1.35,0.42,2.29,0.1,0.94,0.1,0.1,0,0.1,0.31,0,0.62,0,0,0.1,0.52,0,0,0,0,0.1,0.1,0.42
22Month,0,0,0.41,3.14,0.14,0,0.41,0.14,0.68,0.14,2.19,14.21,0,1.5,0.14,0.27,0.55,3.42,0,0.27,0.41,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.27
