stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
72hpf,0,0.28,0,0,0,0.56,0.56,1.13,0,0,0,0,0.28,0,0
21Day,0,0,0,0,0,0,0.74,1.48,0.74,0,0,0.37,0,0,0.37
3Month,0.1,0,0.1,0.31,0.1,0,0,0,0,0,0.1,0,0,0.52,0
