stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0.28,0,0,0,3.1,0.56,9.86,0.28,0,0,0,0.28,0
21Day,0.74,0,0,0.37,0,0.37,1.11,7.4,0.37,1.48,0.37,0,0,0.37
3Month,0.1,0,0.31,0,0.1,0.21,0,0,0,0,0,0.21,0,0
22Month,0.14,0,1.37,0,0,0.27,0,0,0,0,0,1.09,0,0
