stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0
3Month,0.1,0.1,0.73,0.1,0.42,0,1.04,0.1,0.1,0.1,0.31,0.52,0.1,0,0,0,0.21,7.7,6.24,0.1
22Month,0.14,0,0.14,0,0,0,1.37,0,0.14,0.14,0,0.27,0,0,0.14,0.82,0.14,3.01,0.14,0.14
