stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,0,0,0,0,0,0,0,0.28,0,0,3.1,0,0.28,0,0,0,0,0.85,0,0,0,0.28,0,0,0,0,0,0
21Day,8.14,0.74,3.33,0.37,1.85,0,0,0,0,0,0,1.11,0.37,10.36,0.37,1.85,0,0,0,0,2.22,0.74,0,0,0.74,1.11,0,0.37,0.37,0,0
3Month,1.46,0,4.68,0,0,0,0.1,0.31,0.83,0.21,0,1.87,0,1.46,0.31,0.21,0.1,0,0,0.1,0,0,0,0,0,0.42,1.25,0,0,0.31,0.1
22Month,0.68,0,0.27,0.14,0,0.14,0,0.14,3.55,0,0,0,0,0.41,0,0.41,0,0.14,0.14,0,0,0,0.14,0.14,0,0,0.68,0,0,0,0.27
