stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,3.38,0,0.28,0,8.17,1.97,0,1.13,0,0,1.13,0.28,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,2.22,0,0.37,0,3.33,0.37,0,1.48,0,0,0,0,0,0,0
3Month,0,0.21,0.31,1.77,0.1,0.52,0.52,6.55,0.94,0.21,0.94,0.1,0.52,0.1,1.87,0.52,0.1,0.1,0.1,0,0.1,0.1,0.52,0.94,0,0,4.78,124.2,0.31
22Month,0,0,0,0.14,0,0,0,1.37,0,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0.14,0.14,0
