stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0.28,0.28,0,0.56,0,8.17,0.56,0,0,0.28
21Day,0,0,0,0,0,0,4.07,0.37,0,0,1.11
3Month,0.42,0,0,0,0.1,0.1,0,0,0.1,0,0
22Month,0,0,0,0.82,0,0,0,0,0.14,0.27,0
