stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,26.49,1.69,0,0.56,0,0,0,0,0,0.28,0,0
21Day,1.11,0,0,1.48,2.22,0,0.37,0.37,0,0,0,0,0.37,0.37,0.37,0.74,2.22,0,0.37,37.74,2.22,0,0,1.11,0,2.59,0.37,0.37,0.37,0,0.37
3Month,0,0.1,0,0.83,0,0,0,0.1,0,0,0.62,0.31,0,0.31,0.21,0.21,0.42,0,0,1.04,0,0.83,0,0.21,1.56,0.21,0,0,0,0.1,0.1
22Month,0,0,0.14,0.27,0,0.14,0,0,0.14,0,0.96,0,0,0,0,0,0,0.14,0,1.37,0,0.41,0,0,2.05,0.68,0,0,0,0,0.14
