stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.41,0,0,0,0.28,0,0.28,0,0,0,0,0
21Day,0.37,0,3.33,0,0,0,0,0,0.37,0,0.37,0,0.37,0.37,0,0.37,0,0.37,0,0
3Month,0,0.31,7.7,0.31,0,0.62,0.21,1.04,0.21,0.1,0.1,0.1,0.1,0,0,0,2.5,0,0.52,0
22Month,0,0,3.83,0,0.14,0.68,0,0.27,0,0,0,0,0,0,0,0,1.23,0,0,0.41
