stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,4,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.28,0.85,0,0,0,0,0,0,0,0,0,0,0.28,1.97,0.28,24.24,0,0.56,0,0,4.51,1.41,0,82.58,0,0,0.56,0,0,0.56,0,0,0
21Day,0,0,0,1.11,0,2.96,0,0.37,0,0,0,0,0,0,0,0.37,0.37,3.7,3.7,50.32,0,0,0,0,9.99,0.74,0,93.24,1.11,0,0,0.37,0.74,0,0,0,1.48
3Month,0,0.62,0.1,5.82,0,0,0.21,0.1,1.56,0.62,3.22,0,6.24,1.77,0.42,1.25,0.73,71.25,11.96,88.1,1.77,0,0.73,0.21,0.83,0,0.42,0.42,0.83,0.94,0.1,0,0,0.1,1.56,0.52,1.14
22Month,0,0.41,0.14,1.78,0,0,0.14,0,0,0.14,3.55,0,9.7,0.27,0.55,0.14,0.27,4.78,17.63,14.76,0.41,0.14,0.14,0,0.14,0,0.27,0,0,0.55,0,0,0,0,0.14,0,1.64
