stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,1,0,1,0,0,0,0,0,1,0,0,1,17,0,0,0
72hpf,0.56,0,0,0.28,0,0,0,0.56,0,0.56,0,0,4.51,1.97,0,0,0.28
21Day,0.37,0.37,0.37,2.96,0.37,0,0,0,0,2.22,0,0,0.37,0.74,0.37,0,0.37
3Month,0,0.1,0,0.21,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0
22Month,0,0,0,0,0,0.82,0.14,0,0,0,0,0,0,0,0,0,0
