stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,2.82,0.28,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0.85,0.56,0,0,0,0,0,0,0,0
21Day,0,0.37,0.74,0,0.37,0,0,0,0,0.37,0,0.37,30.34,1.11,0,0,0,0,0,1.11,0,0,0,0,0,0.37,0,0,0
3Month,0,2.91,0.31,0,0,0.1,0.31,1.87,0.52,0.1,0.1,0.31,8.01,0.1,0.21,0.21,0,0.1,0.1,0.21,0,0.21,2.7,0.21,0.1,0,0.1,0.21,0.42
22Month,0.14,1.78,0.27,0,0,0.14,0.27,8.47,0.55,0.27,0.27,0.27,8.2,0.68,0.55,0.14,0.14,0.14,0,0.14,0,0.14,1.5,0,0,0,0.14,0,0.27
