stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,17,0,0,4,0,0,0,14,0,71,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.79,0.28,0,0,0,0,0,0,0,0,0,0,31.57,0.56,0,1.13,0,5.36,0,14.37,2.82,4.51,0,0,0,2.54,5.92,0,0,0.28,0,0,0
21Day,1.48,0,4.07,10.36,0.37,0,0,0,0,0,0,2.22,0,0.37,4.07,4.07,1.11,1.11,1.48,0,0,0.37,9.25,2.96,1.11,0,0,0,0,3.33,0,0,0.37,0,0,0
3Month,0.21,0.73,5.51,60.02,0,0.52,0,15.71,1.98,0,0,64.28,3.12,0.52,29.02,26.21,2.08,6.45,2.29,0.52,0.21,11.86,125.03,0.42,0,2.29,0.31,0,0,1.98,5.51,0,0,0.83,2.18,1.56
22Month,0,0.82,5.74,56.16,0,0.55,0.14,17.08,1.78,0.68,0,208.39,0.96,0.27,38.26,6.42,0.55,1.91,1.91,0,6.01,4.1,8.2,0.14,0.27,2.46,0.41,3.14,0,0.55,7.38,0.14,0,0.14,0,0.96
