stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,32,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,4.23,0,0.28,0,0,0,0,0,0,0,0,0.85,50.17,0.56,0,0,0,0.28,2.25,0.85,0,0,0,0.85,0,0,0,0,0
21Day,0.37,0,0.37,16.65,0,0.74,0,0,0,0,0,0,0.74,0,0.74,14.43,0,0,0,0,0,1.11,1.11,0,0.37,0,0,0,0,0,0.37,0
3Month,0,0.21,0.62,19.45,0,0,0.21,0.21,0,0,1.14,0.21,0,4.06,3.02,0.83,0.73,0.1,0.1,0.1,0.31,0.1,0,0,0.1,0,0.21,0.31,3.54,0.1,0,0.73
22Month,0,0,0,4.37,0.14,0,0,0.41,0.41,0,1.37,0.14,0,0.41,0.14,0,0.55,0,0,0,0,0,0,0.14,0,0.55,0,0.14,2.6,0,0,0
