stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,3,0,0
72hpf,0.28,0,0,0,0.28,0,0.28,0.56,0,0.28
21Day,1.11,0,0.37,0,0,0.37,0.37,0,0.37,0
3Month,0,0,0,0.31,0,0,0,0,0,0
22Month,0,0.27,0,0.96,0,0.27,0,0,0,0
