stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,2.25,1.97,0,0,0,0.28,0,0,0,0,0,117.53,0,1.13,0,0,0,0,7.05,3.66,0,0,2.54,0,0,0.85,0,0,0,0,0
21Day,1.85,0.37,0,69.19,3.7,0,0.37,0,0,0.37,0.37,0,0.37,1.11,69.93,1.85,2.59,0,0,0.74,0,3.33,2.22,0,0,1.85,3.33,0,0,0.37,0.37,0,0,0
3Month,0.1,0.52,0,128.15,0,0.31,0,0.42,0.62,5.1,1.77,0.1,1.56,2.7,28.71,0.73,1.35,1.14,0,0.52,0.42,0.31,0.1,0.1,0.21,0.1,0.83,2.18,0.1,0,0,3.95,0.42,1.25
22Month,0,0,0.14,6.15,0,0,0,0,0.14,0.82,0.14,0,0,0,0.41,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
