stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.56,0.56,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,28.18,1.13,0,0.28,0.28,0,0,0,0,0,0,0
21Day,0,0,1.48,1.48,0.37,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,21.83,0,0,0,0.37,0.74,0,0,0.37,0,0,0
3Month,0,0.1,1.56,0,0,0.21,0.1,2.7,0.21,0,1.25,0,0.1,0.21,0.1,0.1,0,0.42,0.1,0.31,0,0.52,0,0,0.52,0.42,0,0,0,0.73,0.21
22Month,0.14,0,0.82,0,0,0,0.41,12.03,0.27,0.14,0.82,0,0,0.41,1.91,0.27,0.27,0.14,0,0,0,0.55,0,0,0,0.55,0.27,0,0.14,0,0
