stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,2,1,0,0,0,0,0,0,0,2,3,0,0,0,8,0,1,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0,0,0,0,0.85,0,6.48,0,0,0.85,0.56,0,3.66,0,0,0,0.28,0,0
21Day,0,0.37,0.37,0.74,0,0,0,0,0,0.37,0.37,24.79,0,0.74,0.74,0,0,2.59,0,0,0.37,0,0,0
3Month,0,0.73,0.31,0,0.21,0,0.42,0.1,0.21,0.21,0.21,4.89,2.18,0.1,0,0,0.1,0,0.21,0.31,0,0.1,0.21,0.1
22Month,0,2.46,0.27,0,0.41,0.14,4.78,0.14,0,0,0.41,5.6,0,0.14,0,0,0,0.14,0,0,0,0,0,0
