stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,25.08,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0.28,1.41,0,1.97,0,0,0,0.28,4.51,5.92,0.85,0,0,1.69,0,0,0.56,0.56,0,0,0,0,0,0
21Day,15.17,0.37,0,0.37,0.74,0,0,0,0,0,0,0,0,0,0,0.74,0.37,4.44,0,0,0,0,1.11,0.37,0.37,0,0,1.85,0.37,0,0,0,0,0.37,0.37,0,0,0
3Month,1.25,3.64,0.21,3.02,0.31,0,0.1,0.62,0.73,0,4.89,0.94,0.21,0.73,2.7,1.35,0.73,5.41,0.21,0.1,0.21,1.56,0.1,0.31,0.62,0.1,0,0.31,0.1,0.1,11.55,1.46,0,0,0.31,0.31,1.46,1.66
22Month,0.27,11.07,0.27,2.46,0.14,0.27,0,0.96,2.73,8.34,77.75,0.41,0.14,1.37,0.68,0.96,1.91,5.33,0,1.23,0.27,0,0.41,0.14,1.37,0.41,0.14,1.37,0.41,0,9.16,2.32,0.14,0,0,0.27,0,0.55
