stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
3Month,0.21,8.43,0.1,0.1,0.73,0.73,0.1,3.12,1.14,0.73,0.31,1.77,0.1,0,0.1,0.21
22Month,0,1.37,0.27,0,0.96,0,0,1.37,0.96,0,0,0.14,0,0,0.14,0.27
