stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.13,0,1.41,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,8.17,4.51,0,1.13,0,0,4.79,0,0,0,0
21Day,0,0,0,1.48,0.37,0.37,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0.37,0,1.48,0,0,0.74,0.37,0,0.74,0.37,0,0,0
3Month,0.1,0.1,0,13.83,0,0,0.1,0.21,0,3.43,0.42,0.1,0.83,1.14,0.42,0.52,0.73,0.1,0,0.21,0.21,0.1,0.1,0.21,0,0.1,1.04,0.1,0,0.31,0.83,0.52
22Month,0,0.55,0.14,6.15,0,0,0,0.82,0.27,7.93,0.41,0,1.23,0,0.27,0.27,0.82,0,0.41,0,0,0.14,0.14,0,0,0,0.68,0.14,0,0,0,0.41
