stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,3.95,0,0,0,0,0,0,0,0,0.28,9.02,0,0,0,0,0,0,0.85,0.56,0,0,0,0
21Day,0,0,4.44,0,0,0,0,0.37,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.1,0.1,2.39,0.1,0.1,0,0,1.14,7.7,0.1,0.31,0,6.35,1.35,0.1,0.21,0,0.21,0.21,0.1,0,10.92,0.31,1.56,0.31
22Month,0,0,0.68,0,0,0.14,0.14,1.64,0.41,0,0.41,0,0.41,0.14,0.14,0,0.14,0,0,0,0,0.14,0,0,0
