stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0.28,0.28,0,0,0,1.13,1.41,0,0.85,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0
3Month,0.31,0.42,0.1,0.1,0.21,0,0.31,0.1,0.1,0.21,0,0,0.1,0,0,2.39,2.29,0.1
22Month,0,0.96,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.27
