stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,1.97,0.85,0.28,0,0.28,0,0,0.28,0
21Day,0.74,0,0.74,1.48,0.37,0,0,0,0,0,0,0,0,0.37,0.37,0.37,1.11,0,0,0,0,2.59,0,0,0,0.37,0,0.37,0,0.37
3Month,0,0.1,0,3.64,0,0.1,0.21,0.42,0,1.77,0.31,0.21,1.04,0.21,0.73,0.31,1.25,0.42,0,0.31,0.1,0,0.1,0.1,0.1,0,0,0,0,0.73
22Month,0,0.41,0.27,1.09,0,0.27,0.27,1.37,0.14,8.88,1.23,0.68,2.6,0,0.68,1.23,2.46,0.14,0.41,0.41,0,0.55,0,0.14,0.41,0,0.41,0,0,1.5
