stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,2,0,0,0,0,0,0,3,0,1,3,0,1,2,62,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,2.25,0.28,0,0,0,0,0,0.28,0.56,0,0.56,0,0.28,7.05,5.36,0.28,0,0.28,1.97,0.28,0.28,0.28,0,0,0
21Day,0.37,0,0,1.48,1.85,0,0,0,0,0,0,0.37,0,0,0.37,0,0,1.85,0.74,0,0.37,0.37,1.48,0.37,0,0,0,0,0.37
3Month,0.1,0.42,0.1,7.28,0.42,0,0.21,0,2.29,0.62,0.52,1.98,0.42,0.31,0.52,0,0.73,2.08,0.21,0.1,0.31,8.22,0,0,0,0,0.1,58.15,0.42
22Month,0,0,0.14,3.42,0,0,0,0.14,1.37,0,0.41,0.27,0,0.27,0,0.14,0,0,0,0.14,0,9.29,0.14,0,0,0.14,0,0.14,0
