stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,8,0,16,4,0,0,0,0,0,3,0,0,0,0,2,1,4,138,0,0,0,0,51,964,0,0,0,34,0,0,0,0,0,0,7,0,0,0
72hpf,3.1,0,0,3.1,1.69,1.69,0,0.28,0,0,0,0,0,0,0.28,0.28,3.66,0,16.63,0,0,0,0,172.77,44.81,0.56,0,0,5.92,0,0,0,4.23,1.41,0.28,1.41,0,0,0
21Day,3.7,0.37,0.74,13.69,0.37,2.96,0,0,0,0.37,0,0,0.37,1.48,1.48,0.74,3.7,1.11,32.93,0,0,1.11,0,121.73,41.44,0.37,1.11,0,9.62,6.29,0,1.85,9.25,1.11,3.33,1.48,0,0,0.74
3Month,0.1,3.22,0.21,7.91,1.14,0,0,0.42,0.42,0.1,0,3.54,1.04,0,1.25,0.21,1.04,1.04,2.91,1.87,0,0.62,0.42,1.56,0.94,2.08,0.1,0,0,0.1,0.1,26.32,1.77,0.21,0,1.35,0.52,38.59,0.94
22Month,0,3.42,0.27,3.01,0,0,0.14,0,0,1.37,0,6.97,0,0,1.23,0,0.41,0.14,0.82,0,0.55,0.55,0.14,0,0.55,0.41,0.27,0.14,0,0,0,9.29,2.19,0.14,0,0.27,0.55,0.27,0.14
