stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0,21.98,1.69,0,0,1.13,0,0.56,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0.74,0,17.02,0,0.37,0.74,0.37,0,0,0,0.37
3Month,0,0,0.1,0,0.62,0.1,0.21,0.21,0,0,0,0,0,0,0,0,0.21,0,0,0
22Month,0.27,0.41,0.68,0.27,3.96,0.14,0.14,0.14,0.27,0.14,0.27,0.14,0,0.14,0.27,0,0.68,0,0.14,0.14
