stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,15,2,19,0,0,0,0,0,0,0,0,0,7,0,1,89,0,0,0,1,4,31,0,21,0,0,0,0,0,0,0
72hpf,11.56,1.13,3.95,1.69,2.25,0,0,0,0,0,0,0,1.13,5.07,0.28,149.1,0,0.56,0.28,0,18.32,13.53,0.28,155.86,0.28,0,2.25,0.28,0,0.56,0
21Day,24.42,0.74,6.29,0.74,1.48,0,0,0,0,1.11,0,0.37,0,4.44,1.11,72.15,0,0,2.96,0,2.22,2.59,0,25.9,1.11,0,0.74,0.74,0.37,0,0.37
3Month,0,0.42,0.31,0.1,0,0.1,0.1,0.1,0,3.12,0.1,0.21,0,0.21,0.31,2.5,1.25,0,0.21,0,0,0,0,0.1,0,0.1,0,0,0,0,0
22Month,0,0,0.14,0,0,0,0,0,0.41,13.53,0.14,0,0,0.27,0.14,6.83,0,0.41,0.14,0,0,0,0,0,0,0,0,0,0,0,0
