stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,1.41,0.28,0.56,0.28,0,0,0,0,0,0,0.28,0.56,0,2.54,0,0,0,67.36,7.89,0,1.41,0,0,0.85,17.19,20.01,0,0,0,0
21Day,0.37,0,0.37,1.11,0.37,0.74,0,0,0,0.37,0,0.37,0.37,0.37,3.7,0,3.33,0,0,0,10.73,1.85,0,1.48,0,0,0.74,24.79,120.25,0.37,0.37,0,0.37
3Month,0,0,0,2.7,0,0,0,0.1,0.52,1.14,0.73,0.1,0,0.1,0.52,0.52,0.83,0.1,0.1,0.21,0.21,0,0.1,0.1,0.1,0.62,0,0,0,0,0.1,0.31,0.52
22Month,0,0,0.27,0.55,0,0,0,0,0,1.5,0.14,0,0.14,0.14,0,0,0.41,0,0,0,0,0,0,0,0,0.14,0,0,0,0.27,0,0,0.14
