stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0,0,0,0,0.28,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0,1.48
3Month,0.1,0.1,0,0.42,0,0.1,1.14,0,0.1,0.1,3.64
22Month,0.27,0,0.27,1.5,0.14,0,0.82,0.14,0,0,9.98
