stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,1,2,3,0,0,0,0
72hpf,0.28,0.28,0.28,0,0,0,0.28,11.27,1.69,0.28,0,0,0.28
21Day,0.37,0.37,0,0.37,0.37,0.37,1.85,4.07,0,0,0.37,0.37,0
3Month,0,0.1,0,0,0,0.1,0.1,0,0,0,0,0,0
