stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,35,1,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0.85,0,0,0,0,17.76,3.66,0.28,0.28,1.41,0,0,0.28,0,0,0,0
21Day,0,0.74,0,2.96,4.07,0,0.37,0,0,0,0,0.37,0.37,2.22,0,1.48,0.37,0.37,1.11,0,0,0,0,5.55,2.59,0.74,0,0,0.74,0,0.37,0.37,0,0,0.37
3Month,0,0.52,0.1,4.89,0,0.1,0,0.83,1.04,0,0,6.03,1.25,0.1,1.25,0.31,1.04,0.73,0.73,0.42,0,0.31,0.42,0.1,0,1.04,0.1,0.21,0.21,1.46,0,0,0.73,2.08,1.14
22Month,0.14,0.41,0,1.23,0,0,0.14,0,0.14,0.14,0,14.35,0.41,0.41,0.96,0.27,0.41,0.55,0.55,0,0.96,0.14,0,0.14,0,0.55,0.41,0,0,0.55,0.41,0,0,0,0.55
