stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.85,0,1.69,0.28,0,0,0,0.56,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,3.02,0,0.1,0.52,0.1,0,11.13,0.42,1.25,0,0.31,0.42,0.62,0.1,0,0.21,0,0,0.83,0,0,0.31,0.31,0.1,0
22Month,0.41,0.14,1.64,0,0,0.14,0.27,0.82,44.41,0.14,1.5,0,0.14,0.41,0.82,0.14,0.96,0.14,0.14,0,1.37,0.27,0.14,0,0,0,0.27
