stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Oocyte,Primordial_germ_cell,T_cell
21Day,0.37,0,0,0,0,0,0,0,0.37,0,0,0
3Month,0.21,0.1,0.1,0.21,0,0.1,0.1,1.98,0.1,0,0.73,0
22Month,0,0,0,0.14,0.14,0,0,1.78,0.14,0.14,0.27,0.14
