stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,0.28,0.56,0.56,0.56,0,0,0,0,0.28,1.41,0,3.95,6.48,3.1,0.28,0.28,2.54,0,0.28
21Day,0,2.59,0,2.22,0.37,0.37,0.37,1.11,0.37,1.11,1.85,4.81,2.22,2.59,0,0,1.11,0.37,0.37
