stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0.28,0,0.28,0,0,0,0,0,0,2.25,0,0.28,1.69,0.56,0,0,0
21Day,0.37,0,2.59,0,0,0,0,0,0,1.48,0.37,3.33,9.25,0.37,0.74,0,0
3Month,0,0,0.21,0.1,0.1,0,0.42,0,0.21,0.1,0.1,0.1,0,0,0,0.31,0
22Month,0,0.14,0.27,0,0.27,0.14,1.23,0.14,0,0.14,0,0,0,0,0,0,0.14
