stage,Cardiomyocyte,Endothelial_cell,Granulocyte,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_cell
24hpf,11,0,0,0,0,2,0
72hpf,0.56,0,0,0,0,0,0.28
22Month,0,0.14,0.14,0.55,0.14,0,0
