stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0.85,0.56,0,0,7.33,0,0
21Day,0,0,0,0,0,0,0,0,1.11,0,0,0.74,0.74,0,0,5.55,0,0
3Month,0.31,0.1,0.31,0.1,0,0.21,0,0.21,0.1,0,0.1,0,0.1,0.1,0,0.52,0,0.83
22Month,0.27,0,2.32,0.27,0.14,0.27,0.14,0.27,0.14,0.14,0,0.14,0,0.14,0.14,0,0.55,0
