stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,1.41,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0.37,0,1.48,0,0.37,0,0,0.37,0.37,0.37,0,0
3Month,0.21,0.1,1.04,0.21,0.1,0.21,0.31,4.58,0.1,0.21,0,0,0.1,0.73,0,0,0,0.21
22Month,0,0,0.96,0,0,0,0,0.96,0,0,0,0.27,0,0.96,0.14,0,0.14,0
