stage,Epithelial_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,3,0
72hpf,0.28,0,0,2.25,0,0
21Day,0.37,0.37,0,0,0,0.37
3Month,0,0,0.1,0,0,0
