stage,Epithelial_cell,Hatching_gland,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0.85,0.28,0
21Day,0,0,0,1.11,0.37,3.33,0,0
22Month,0,0,0.27,0,0.27,0,0,0.27
