stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
72hpf,0.28,0,0,0,0,0,0.28,0,0,0,2.54,0.56,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0,0,0.37,4.07,0,0.74,0,0.37
3Month,0,0,0.1,0,0.42,0,0,0,0.1,0,0.62,0,0,0.1,0
22Month,0,0.27,0,0.27,1.5,0.14,0,0.27,0.14,0,0.27,0,0,0,0
