stage,Epithelial_cell,Erythrocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,0,0
72hpf,0,0.56,0,0,10.15,0.28,0,0,0,0.56,0
21Day,0,0,0.37,0,1.85,0.37,0,0,0,0,0
3Month,0.1,0,0.1,0,0,0,0,0.1,0.21,0,0.1
22Month,0,0,0,0.14,0,0,0.14,0,0.14,0,0
