stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,1.41,0,0,0,0,4.79,3.66,0,0,0,0,0,0,1.69,0,0,0,0,0
21Day,0.37,0,0,1.48,0.37,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,2.59,0,0,1.11,0,4.44,6.66,0,0,1.48,0.37,0,0,0.37,0.37,0,0,0,0.37
3Month,0.1,3.12,0.83,28.08,0.1,0,0.52,0.52,0.1,3.95,13.94,0,21.01,23.3,2.39,14.56,3.22,9.15,13.31,7.91,1.56,0.1,3.85,3.02,0.83,0,1.66,0.31,0.31,0.62,0.1,2.39,0.31,0,0.21,5.62,3.95,27.04
22Month,0,9.57,2.05,12.71,0,0,0.96,1.37,0.14,2.05,15.17,6.15,48.65,9.16,3.69,11.75,0.68,1.78,10.8,7.93,0.41,1.09,2.73,0.41,0.82,0.27,2.32,0.82,0,0,0,1.09,0.96,0,0,1.23,0,11.07
