stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,0,2,0,0,0,0,0
72hpf,0,0.28,0,1.41,0.56,0.85,0,0,0,0,0.28,0,0,1.13,0,2.82,8.17,1.97,0,0.28,1.41,0,1.13,0,0.28,0
21Day,0.74,0,0,1.11,0,0.37,0.37,0,0,0,0.74,0,0.37,1.48,0.37,2.59,1.11,0.74,0,0.37,0.37,0,0,0.37,0,0.37
3Month,0,0,0,0.31,0,0,0,0.1,0,0.1,0,0,0,0.52,0.1,0.1,0,0,0,0,0,0.21,0,0,0,0
22Month,0,0,0.14,0.14,0,0,0,0.14,0.14,3.55,0.14,0.55,0,0,0,0.14,0,0,0.14,0,0,0.27,0.14,0,0,0.14
