stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,1,21,0,0,0,0,0,2,1,5,0,1,12,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,1.97,0,1.41,0,1.41,0.56,0,1.69,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,1.85,0,0
3Month,0,0.1,0,0,0.31,0.31,0.1,0,0.31,0.21,0.21,0,0,0,0,2.08,0.21
22Month,0,0,0,0.14,0.55,0,0,0,0,0,0.14,0,0,0,0,0,0
