stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
72hpf,1.41,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0.28,0,0,0,0
21Day,0.74,0,0.37,0.37,0,0.74,0,0,0,1.11,0,0,0.37,0.74,0,0.37,0.37,0
3Month,0,0,0.31,0,0.1,0.94,0.31,0.1,0,0,0.1,0.1,0,0,0,0,0.1,0
22Month,0,0.14,0.14,0,0,2.73,3.01,0,0.68,0.68,0,0.14,0,0,0.14,0,0,0.41
